is_completed,coverage_rate,repeated_coverage,accumulated_pos,step
False,0.0019083969465648854,0.0,0.006999979692545134,1
False,0.003816793893129771,0.0,0.013926852547570213,2
False,0.0057251908396946565,0.0,0.01992161322421461,3
False,0.007633587786259542,0.0,0.026099140994659143,4
False,0.009541984732824428,0.0,0.032386329021383754,5
False,0.011450381679389313,0.0,0.038435919826168195,6
False,0.013358778625954198,0.0,0.04402859289645231,7
False,0.015267175572519083,0.0,0.04878053733525579,8
False,0.01717557251908397,0.0,0.053148670877078995,9
False,0.019083969465648856,0.0,0.057059886684401866,10
False,0.02099236641221374,0.0,0.06055073817598443,11
False,0.022900763358778626,0.0,0.06298154052352621,12
False,0.02480916030534351,0.0,0.06537578945230797,13
False,0.026717557251908396,0.0,0.06808074244054997,14
False,0.02862595419847328,0.0,0.07093190910383206,15
False,0.030534351145038167,0.0,0.07442276059541461,16
False,0.03244274809160305,0.0,0.07855329691529762,17
False,0.03435114503816794,0.0,0.08292143045712083,18
False,0.03625954198473282,0.0,0.08778303515220441,19
False,0.03816793893129771,0.0,0.09227910565968772,20
False,0.04007633587786259,0.0,0.09849318684889227,21
False,0.04198473282442748,0.0,0.10532867615701728,22
False,0.04389312977099236,0.0,0.111762077858782,23
False,0.04580152671755725,0.0,0.11850618362000695,24
False,0.04770992366412214,0.0,0.12567065369697222,25
False,0.04961832061068702,0.0,0.13188473488617677,26
False,0.05152671755725191,0.0,0.13861056393802174,27
False,0.05343511450381679,0.0,0.14546432995552677,28
False,0.05534351145038168,0.0,0.15162358101659126,29
False,0.05725190839694656,0.0,0.15754523485571562,30
False,0.05916030534351145,0.0,0.16346688869483997,31
False,0.061068702290076333,0.0,0.1684016002274436,32
False,0.06297709923664122,0.0,0.17311699124748706,33
False,0.0648854961832061,0.0,0.17741201795179024,34
False,0.06679389312977099,0.0,0.18157910769043328,35
False,0.06870229007633588,0.0,0.18510651260077585,36
False,0.07061068702290077,0.0,0.18819527648599813,37
False,0.07251908396946564,0.0,0.19086367605548007,38
False,0.07442748091603053,0.0,0.19311171130922175,39
False,0.07633587786259542,0.0,0.19515870275978325,40
False,0.07824427480916031,0.0,0.19768088865422512,41
False,0.08015267175572519,0.0,0.20058688544564723,42
False,0.08206106870229007,0.0,0.20404118351846975,43
False,0.08396946564885496,0.0,0.20798895274455262,44
False,0.08587786259541985,0.0,0.21290538756777622,45
False,0.08778625954198473,0.0,0.21738318136587947,46
False,0.08969465648854962,0.0,0.22266515037670334,47
False,0.0916030534351145,0.0,0.229007168531568,48
False,0.09351145038167939,0.0,0.23469122514875215,49
False,0.09541984732824428,0.0,0.2400645777064761,50
False,0.09732824427480916,0.0,0.2458765712893204,51
False,0.09923664122137404,0.0,0.25263895375992534,52
False,0.10114503816793893,0.0,0.2587799281116098,53
False,0.10305343511450382,0.0,0.2649391791726743,54
False,0.1049618320610687,0.0,0.2707511727555185,55
False,0.10687022900763359,0.0,0.2761976321507625,56
False,0.10877862595419847,0.0,0.2816075381272464,57
False,0.11068702290076336,0.0,0.2869991673943504,58
False,0.11259541984732824,0.0,0.2915683447393537,59
False,0.11450381679389313,0.0,0.29622890563125714,60
False,0.11641221374045801,0.0,0.2998476940884998,61
False,0.1183206106870229,0.0,0.3032288853238023,62
False,0.12022900763358779,0.0,0.30591556160266425,63
False,0.12213740458015267,0.0,0.308346363950206,64
False,0.12404580152671756,0.0,0.31033852527262745,65
False,0.12595419847328243,0.0,0.3123672400138089,66
False,0.12786259541984732,0.0,0.31509046971143084,67
False,0.1297709923664122,0.0,0.31808785004975304,68
False,0.1316793893129771,0.0,0.32130455090063537,69
False,0.13358778625954199,0.0,0.3246491887171778,70
False,0.13549618320610687,0.0,0.32892593871210096,71
False,0.13740458015267176,0.0,0.3329468147757039,72
False,0.13931297709923665,0.0,0.3374611619925672,73
False,0.14122137404580154,0.0,0.34230448997827073,74
